unitid,institution name,college,year,position,Professors,Gender
110635,University of California-Berkeley,UCB,2010,"Total full-time Instruction/research/public service, Tenured, Professors",668,Male
110644,University of California-Davis,UCD,2010,"Total full-time Instruction/research/public service, Tenured, Professors",686,Male
110653,University of California-Irvine,UCI,2010,"Total full-time Instruction/research/public service, Tenured, Professors",440,Male
110662,University of California-Los Angeles,UCLA,2010,"Total full-time Instruction/research/public service, Tenured, Professors",915,Male
110671,University of California-Riverside,UCR,2010,"Total full-time Instruction/research/public service, Tenured, Professors",260,Male
110680,University of California-San Diego,UCSD,2010,"Total full-time Instruction/research/public service, Tenured, Professors",573,Male
110699,University of California-San Francisco,UCSF,2010,"Total full-time Instruction/research/public service, Tenured, Professors",183,Male
110705,University of California-Santa Barbara,UCSB,2010,"Total full-time Instruction/research/public service, Tenured, Professors",376,Male
110714,University of California-Santa Cruz,UCSC,2010,"Total full-time Instruction/research/public service, Tenured, Professors",196,Male
445188,University of California-Merced,UCM,2010,"Total full-time Instruction/research/public service, Tenured, Professors",23,Male
110635,University of California-Berkeley,UCB,2011,"Total full-time Instruction/research/public service, Tenured, Professors",640,Male
110644,University of California-Davis,UCD,2011,"Total full-time Instruction/research/public service, Tenured, Professors",676,Male
110653,University of California-Irvine,UCI,2011,"Total full-time Instruction/research/public service, Tenured, Professors",450,Male
110662,University of California-Los Angeles,UCLA,2011,"Total full-time Instruction/research/public service, Tenured, Professors",892,Male
110671,University of California-Riverside,UCR,2011,"Total full-time Instruction/research/public service, Tenured, Professors",263,Male
110680,University of California-San Diego,UCSD,2011,"Total full-time Instruction/research/public service, Tenured, Professors",575,Male
110699,University of California-San Francisco,UCSF,2011,"Total full-time Instruction/research/public service, Tenured, Professors",169,Male
110705,University of California-Santa Barbara,UCSB,2011,"Total full-time Instruction/research/public service, Tenured, Professors",362,Male
110714,University of California-Santa Cruz,UCSC,2011,"Total full-time Instruction/research/public service, Tenured, Professors",199,Male
445188,University of California-Merced,UCM,2011,"Total full-time Instruction/research/public service, Tenured, Professors",24,Male
110635,University of California-Berkeley,UCB,2012,"Tenured, professors",640,Male
110644,University of California-Davis,UCD,2012,"Tenured, professors",677,Male
110653,University of California-Irvine,UCI,2012,"Tenured, professors",454,Male
110662,University of California-Los Angeles,UCLA,2012,"Tenured, professors",878,Male
110671,University of California-Riverside,UCR,2012,"Tenured, professors",253,Male
110680,University of California-San Diego,UCSD,2012,"Tenured, professors",591,Male
110699,University of California-San Francisco,UCSF,2012,"Tenured, professors",166,Male
110705,University of California-Santa Barbara,UCSB,2012,"Tenured, professors",359,Male
110714,University of California-Santa Cruz,UCSC,2012,"Tenured, professors",200,Male
445188,University of California-Merced,UCM,2012,"Tenured, professors",28,Male
110635,University of California-Berkeley,UCB,2013,"Tenured, professors",634,Male
110644,University of California-Davis,UCD,2013,"Tenured, professors",659,Male
110653,University of California-Irvine,UCI,2013,"Tenured, professors",468,Male
