college,year,CIP,Category,Title,Level,Gender,Awards
UCB,2010,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,8
UCB,2010,'03',Non-STEM,Natural Resources and Conservation,Doctor's degree - research/scholarship (new degree classification),Male,3
UCB,2010,'04',Non-STEM,Architecture and Related Services,Doctor's degree - research/scholarship (new degree classification),Male,14
UCB,2010,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,2
UCB,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,32
UCB,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,7
UCB,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,110
UCB,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,18
UCB,2010,'22',Non-STEM,Legal Professions and Studies,Doctor's degree - research/scholarship (new degree classification),Male,10
UCB,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,18
UCB,2010,'26',STEM Major,Biological and Biomedical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,59
UCB,2010,'27',STEM Major,Mathematics and Statistics,Doctor's degree - research/scholarship (new degree classification),Male,21
UCB,2010,'30',Non-STEM,Multi/Interdisciplinary Studies,Doctor's degree - research/scholarship (new degree classification),Male,7
UCB,2010,'38',Non-STEM,Philosophy and Religious Studies,Doctor's degree - research/scholarship (new degree classification),Male,3
UCB,2010,'40',STEM Major,Physical Sciences,Doctor's degree - research/scholarship (new degree classification),Male,104
UCB,2010,'42',Non-STEM,Psychology,Doctor's degree - research/scholarship (new degree classification),Male,5
UCB,2010,'44',Non-STEM,Public Administration and Social Service Professions,Doctor's degree - research/scholarship (new degree classification),Male,2
UCB,2010,'45',Non-STEM,Social Sciences,Doctor's degree - research/scholarship (new degree classification),Male,54
UCB,2010,'50',Non-STEM,Visual and Performing Arts,Doctor's degree - research/scholarship (new degree classification),Male,6
UCB,2010,'51',Non-STEM,Health Professions and Related Programs,Doctor's degree - research/scholarship (new degree classification),Male,3
UCB,2010,'52',Non-STEM,"Business, Management, Marketing, and Related Support Services",Doctor's degree - research/scholarship (new degree classification),Male,13
UCB,2010,'54',Non-STEM,History,Doctor's degree - research/scholarship (new degree classification),Male,7
UCD,2010,'01',Non-STEM,"Agriculture, Agriculture Operations and Related Sciences",Doctor's degree - research/scholarship (new degree classification),Male,12
UCD,2010,'05',Non-STEM,"Area, Ethnic, Cultural, Gender, and Group Studies",Doctor's degree - research/scholarship (new degree classification),Male,2
UCD,2010,'11',Non-STEM,Computer and Information Sciences and Support Services,Doctor's degree - research/scholarship (new degree classification),Male,20
UCD,2010,'13',Non-STEM,Education,Doctor's degree - research/scholarship (new degree classification),Male,10
UCD,2010,'14',STEM Major,Engineering,Doctor's degree - research/scholarship (new degree classification),Male,58
UCD,2010,'16',Non-STEM,"Foreign Languages, Literatures, and Linguistics",Doctor's degree - research/scholarship (new degree classification),Male,5
UCD,2010,'19',Non-STEM,Family and Consumer Sciences/Human Sciences,Doctor's degree - research/scholarship (new degree classification),Male,0
UCD,2010,'23',Non-STEM,English Language and Literature/Letters,Doctor's degree - research/scholarship (new degree classification),Male,2
